Informes Policiales de Accidentes de Tránsito (IPAT) ,Fecha del Accidente,Dirección,Latitud,Longitud,Barrio,Comuna,Corregimiento,Género,Hora,Gravedad,Clase de Accidente,Choque Con,Clase de Vehículo 1,Servicio,Hipótesis,Gravedad Conductor,Embriaguez,Grado,Clase de Vehículo 2,Servicio 2,Hipótesis 2,Gravedad Conductor 2,Embriaguez 2,Grado 2,Motocicleta,Mes
A001165856,2020-06-23T05:00:00Z,CALLE 22 11A 10 FRENTE AL ÉXITO,"4.333087, -74.369840","4°19'59.1""N 74°22'11.4""W",ÉXITO,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T15:21:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,,ILESO,NO,Sin Informacion,VOLQUETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165856,2020-06-25T05:00:00Z,CALLE 7 7 70,"4.343400, -74.362257","4°20'36.2""N 74°21'44.1""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T15:10:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,145.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165857,2020-06-26T05:00:00Z,CALLE 8 CARA 3,"4.343095, -74.359340","4°20'35.1""N 74°21'33.6""W",EMILIO SIERRA,CENTRO,N/A,MASCULINO,1899-12-31T21:50:00Z,HERIDOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,123.0,HERIDO,SI,NEGATIVA,AUTOMÓVIL,PARTICULAR,157.0,ILESO,SI,NEGATIVA,MOTOCICLETA,Sin Informacion
A001165858,2020-07-06T05:00:00Z,CALLE 8 11 27,"4.342564, -74.361089","4°20'33.2""N 74°21'39.9""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T17:00:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PUBLICO,132.0,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165859,2020-07-13T05:00:00Z,CALLE 22 59 66 LA PAMPA,"4.327144, -74.394037","4°19'37.7""N 74°23'38.5""W",LA PAMPA,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T16:30:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PUBLICO,121.0,ILESO,SI,NEGATIVA,MICROBUS,PUBLICO,0,ILESO,SI,NEGATIVA,Sin Informacion,Sin Informacion
A001165860,2020-07-17T05:00:00Z,CALLE 22 43 11,"4.328575, -74.387834","4°19'42.9""N 74°23'16.2""W",COOVIPROF,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T11:45:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,132.0,ILESO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,0,ILESO,SI,NEGATIVA,Sin Informacion,Sin Informacion
A001165864,2020-07-22T05:00:00Z,CALLE 3B NORTE 5 05,"4.351053, -74.361455","4°21'03.8""N 74°21'41.2""W",EL PROGRESO,NORTE,N/A,MASCULINO,1899-12-31T22:45:00Z,HERIDOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,116.0,HERIDO,SI,NEGATIVA,CAMIONETA,PARTICULAR,104.0,ILESO,SI,NEGATIVA,MOTOCICLETA,Sin Informacion
A001165862,2020-07-24T05:00:00Z,VEREDA EL RESGUARDO,"4.353675, -74.365363","4°21'13.2""N 74°21'55.3""W",VEREDA EL RESGUARDO,Sin Informacion,OCCIDENTAL,MASCULINO,1899-12-31T20:50:00Z,SOLO DAÑOS,CHOQUE,OBJETO,AUTOMÓVIL,PARTICULAR,,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,134.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165863,2020-07-25T05:00:00Z,CRA 50 CON CALLE 24 LA GRAN COLOMBIA,"4.327273, -74.393064","4°19'38.2""N 74°23'35.0""W",LA GRAN COLOMBIA,SUR OCCIDENTAL,N/A,MASCULINO,1900-01-01T00:56:16Z,SOLO DAÑOS,CHOQUE,OBJETO,CAMIONETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,CAMPERO,PARTICULAR,141.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165864,2020-07-27T05:00:00Z,CALLE 12 16 20,"4.338479, -74.364346","4°20'18.5""N 74°21'51.7""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T16:50:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,132.0,ILESO,NO,Sin Informacion,VOLQUETA,PUBLICO,0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165865,2020-07-30T05:00:00Z,CALLE 22 39A 22,"4.329284, -74.384083","4°19'45.4""N 74°23'02.7""W",COOVIPROF,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T09:13:00Z,SOLO DAÑOS,VOLCAMIENTO,OTROS,CAMIONETA,PUBLICO,130.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,Sin Informacion,Sin Informacion
A001165866,2020-07-31T05:00:00Z,CRA 2 ESTE 9 42,"4.342436, -74.356668","4°20'32.8""N 74°21'24.0""W",PEKIN,ORIENTAL,N/A,MASCULINO,1899-12-31T19:10:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULOESTACIONADO,AUTOMÓVIL,PARTICULAR,,ILESO,NO,Sin Informacion,CAMIÓN,PARTICULAR,134.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165867,2020-08-01T05:00:00Z,CLLE 23 12 12,"4.332861, -74.371966","4°19'58.3""N 74°22'19.1""W",SAN MATEO,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T19:00:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,,ILESO,SI,NEGATIVA,CAMIÓN,PUBLICO,145.0,ILESO,SI,NEGATIVA,Sin Informacion,Sin Informacion
A001165868,2020-08-03T05:00:00Z,AV LAS PALMAS 5 31,"4.342562, -74.361011","4°20'33.2""N 74°21'39.6""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T17:01:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMPERO,PARTICULAR,,ILESO,NO,Sin Informacion,CAMIÓN,PUBLICO,202.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165869,2020-08-04T05:00:00Z,CLLE 25 3BIS 03,"4.325070, -74.364692","4°19'30.3""N 74°21'52.9""W",SIBONEY,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T15:50:00Z,HERIDOS,ATROPELLO,OTROS,MOTOCICLETA,PARTICULAR,102.0,HERIDO,SI,NEGATIVA,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,MOTOCICLETA,Sin Informacion
A001165870,2020-08-04T05:00:00Z,CRA 1 CALLE 3,"4.346696, -74.357740","4°20'48.1""N 74°21'27.9""W",EMILIO SIERRA,CENTRO,N/A,MASCULINO,1899-12-31T18:00:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIÓN,PUBLICO,157.0,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165871,2020-08-18T05:00:00Z,CALLE 22 52 42,"4.326907, -74.394748","4°19'36.9""N 74°23'41.1""W",COOVIPROF,SUR OCCIDENTAL,N/A,FEMENINO,1899-12-31T13:00:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,,ILESO,SI,NEGATIVA,AUTOMÓVIL,PARTICULAR,121.0,ILESO,SI,NEGATIVA,Sin Informacion,Sin Informacion
A001165872,2020-08-18T05:00:00Z,MZ F CASA 94,"4.333023, -74.396249","4°19'58.9""N 74°23'46.5""W",EBEN EZER,SUR OCCIDENTAL,N/A,MASCULINO,1900-01-01T01:06:16Z,HERIDOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,157.0,ILESO,SI,NEGATIVA,BICICLETA,Sin Informacion,99.0,ILESO,NO,Sin Informacion,MOTOCICLETA,Sin Informacion
A001165873,2020-08-27T05:00:00Z,KM 68+180 MTS SECTOR EL INDIO,"4.330337, -74.378998","4°19'49.2""N 74°22'44.4""W",SECTOR EL INDIO,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T21:15:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165874,2020-09-04T05:00:00Z,KM 68+180MTS SECTOR EL INDIO,"4.330337, -74.378998","4°19'49.2""N 74°22'44.4""W",SECTOR EL INDIO,SUR OCCIDENTAL,N/A,MASCULINO,1900-01-01T00:56:16Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,121.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165875,2020-09-04T05:00:00Z,VIA FGGA - SIBARE KM 4+200 MTS,"4.373385, -74.344045","4°22'24.2""N 74°20'38.6""W",VEREDA TIERRA NEGRA,Sin Informacion,NORTE,MASCULINO,1900-01-01T01:26:16Z,HERIDOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,,HERIDO,SI,NEGATIVA,CAMIONETA,PARTICULAR,157.0,ILESO,SI,NEGATIVA,MOTOCICLETA,Sin Informacion
A001165876,2020-09-05T05:00:00Z,CALLE 22 49 20,"4.327576, -74.392515","4°19'39.3""N 74°23'33.1""W",LA GRAN COLOMBIA,SUR OCCIDENTAL,N/A,MASCULINO,1900-01-01T03:06:16Z,HERIDOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,115.0,ILESO,SI,POSITIVA,MOTOCICLETA,PARTICULAR,0,ILESO,SI,NEGATIVA,Sin Informacion,Sin Informacion
A001165877,2020-09-06T05:00:00Z,CRA 74 ENTRA A VILLA CELESTE,"4.326688, -74.408857","4°19'36.1""N 74°24'31.9""W",VILLA CELESTE,SUR OCCIDENTAL,N/A,FEMENINO,1900-01-01T01:46:16Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,,ILESO,NO,Sin Informacion,CAMPERO,PARTICULAR,114.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165878,2020-09-07T05:00:00Z,AV LAS PALMAS CRA 10,"4.341518, -74.364582","4°20'29.5""N 74°21'52.5""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T16:35:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,,ILESO,NO,Sin Informacion,CAMIONETA,PUBLICO,123.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165879,2020-09-07T05:00:00Z,AV LAS PALMAS CRA 7,"4.342546, -74.362276","4°20'33.2""N 74°21'44.2""W",CENTRO,CENTRO,N/A,FEMENINO,1899-12-31T13:50:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,122.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165880,2020-09-12T05:00:00Z,CLLE 10B CRA 12,"4.340474, -74.365779","4°20'25.7""N 74°21'56.8""W",POTOSI,CENTRO,N/A,MASCULINO,1899-12-31T20:45:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,,ILESO,NO,Sin Informacion,CAMPERO,PARTICULAR,123.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165881,2020-09-13T05:00:00Z,VIA ARBELAEZ KM 1+50MTS,"4.320313, -74.388609","4°19'13.1""N 74°23'19.0""W",SECTOR RIO CUJA,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T21:30:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,112.0,ILESO,NO,Sin Informacion,MOTOCICLETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165882,2020-09-20T05:00:00Z,CLLE 27 4 91 B VERGEL,"4.323131, -74.365064","4°19'23.3""N 74°21'54.2""W",VERGEL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T21:30:00Z,HERIDOS,ATROPELLO,OTROS,Sin Informacion,PARTICULAR,,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,Sin Informacion,Sin Informacion
A001165883,2020-09-20T05:00:00Z,CALLE 24 48A 12,"4.327497, -74.388365","4°19'39.0""N 74°23'18.1""W",COOTRADECUN,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T23:30:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,,ILESO,NO,Sin Informacion,CAMPERO,PARTICULAR,134.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165884,2020-09-24T05:00:00Z,CRA 5 CALLE 4,"4.345617, -74.360848","4°20'44.2""N 74°21'39.1""W",EMILIO SIERRA,CENTRO,N/A,MASCULINO,1899-12-31T11:06:00Z,HERIDOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,102.0,HERIDO,SI,NEGATIVA,AUTOMÓVIL,PARTICULAR,122.0,ILESO,NO,Sin Informacion,MOTOCICLETA,Sin Informacion
A001165885,2020-09-26T05:00:00Z,AV CLLE 22 DG 21 LA GRAN COLOMBIA,"4.328165, -74.389651","4°19'41.4""N 74°23'22.7""W",LA GRAN COLOMBIA,SUR OCCIDENTAL,N/A,FEMENINO,1900-01-01T01:16:16Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,115.0,ILESO,SI,NEGATIVA,CAMIONETA,PARTICULAR,0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165886,2020-09-27T05:00:00Z,CRA 6 DG 16,"4.336088, -74.361944","4°20'09.9""N 74°21'43.0""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T19:52:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,0,ILESO,NO,Sin Informacion,MOTOCICLETA,Sin Informacion
A001165887,2020-09-27T05:00:00Z,KM 1+700MTS TIERRA NEGRA,"4.373703, -74.343943","4°22'25.3""N 74°20'38.2""W",VEREDA TIERRA NEGRA,Sin Informacion,NORTE,MASCULINO,1899-12-31T15:15:00Z,HERIDOS,CHOQUE,OTROS,MOTOCICLETA,PARTICULAR,157.0,HERIDO,SI,NEGATIVA,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,MOTOCICLETA,Sin Informacion
A001165888,2020-09-28T05:00:00Z,AV LAS PALMAS CRA 8,"4.342180, -74.363210","4°20'31.9""N 74°21'47.6""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T17:20:00Z,SOLO DAÑOS,CHOQUE,OTROS,CAMIONETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,Sin Informacion,Sin Informacion
A001165889,2020-09-30T05:00:00Z,CALLE 22 37 14,"4.329993, -74.379507","4°19'48.0""N 74°22'46.2""W",SECTOR EL CATAMA,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T20:40:00Z,HERIDOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,157.0,ILESO,SI,NEGATIVA,CAMIONETA,PARTICULAR,0,ILESO,SI,NEGATIVA,MOTOCICLETA,Sin Informacion
A001165890,2020-10-02T05:00:00Z,CRA 5 CON CALLE 10,"4.341039, -74.360848","4°20'27.7""N 74°21'39.1""W",ANTONIO NARIÑO,ORIENTAL,N/A,MASCULINO,1899-12-31T17:25:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A0011665892,2020-10-03T05:00:00Z,CRA 11 18 53 BALMORAL,"4.334297, -74.366455","4°20'03.5""N 74°21'59.2""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T08:40:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,134.0,ILESO,SI,POSITIVA,MOTOCICLETA,PARTICULAR,0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165892,2020-10-07T05:00:00Z,KM 65+420MTS,"4.326673, -74.402434","4°19'36.0""N 74°24'08.8""W",LA PAMPA,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T13:40:00Z,HERIDOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,157.0,ILESO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,157.0,ILESO,SI,NEGATIVA,Sin Informacion,Sin Informacion
A001165893,2020-10-08T05:00:00Z,TV 12 24 06,"4.332419, -74.372934","4°19'56.7""N 74°22'22.6""W",Sin Informacion,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T21:33:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PUBLICO,134.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165894,2020-10-09T05:00:00Z,CALLE 22 66 20,"4.326671, -74.402494","4°19'36.0""N 74°24'09.0""W",COOVIPROF,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T11:30:00Z,SOLO DAÑOS,CHOQUE,OTROS,MOTOCICLETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,MOTOCICLETA,Sin Informacion
A001165895,2020-10-13T05:00:00Z,CALLE 22 CRA 38,"4.327596, -74.392211","4°19'39.4""N 74°23'32.0""W",COOVIPROF,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T15:30:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PUBLICO,121.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165897,2020-10-13T05:00:00Z,KM 68 + 720,"4.326686, -74.404586","4°19'36.1""N 74°24'16.5""W",COOVIPROF,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T22:30:00Z,HERIDOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,122.0,ILESO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,0,HERIDO,SI,NEGATIVA,Sin Informacion,Sin Informacion
A001165896,2020-10-14T05:00:00Z,CALLE 22 73 13,"4.326690, -74.407486","4°19'36.1""N 74°24'27.0""W",LA PAMPA,SUR OCCIDENTAL,N/A,MASCULINO,1900-01-01T02:26:16Z,SOLO DAÑOS,CHOQUE,VEHÍCULOESTACIONADO,TRACTOCAMIÓN,PUBLICO,,ILESO,NO,Sin Informacion,TRACTOCAMIÓN,PUBLICO,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165898,2020-10-14T05:00:00Z,CRA 9 CALLE 18,"4.333681, -74.365615","4°20'01.3""N 74°21'56.2""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T20:10:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PUBLICO,112.0,ILESO,SI,NEGATIVA,AUTOMÓVIL,PUBLICO,0,ILESO,SI,NEGATIVA,Sin Informacion,Sin Informacion
A001165899,2020-10-15T05:00:00Z,CALLE 9 CON CRA 2,"4.341935, -74.358408","4°20'31.0""N 74°21'30.3""W",ANTONIO NARIÑO,ORIENTAL,N/A,MASCULINO,1899-12-31T11:00:00Z,HERIDOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,,ILESO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,115.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165900,2020-10-18T05:00:00Z,KM69+300 MTS CRUCE DE LAS PALMAS,"4.343457, -74.376134","4°20'36.5""N 74°22'34.1""W",CRUCE DE LAS PALMAS,OCCIDENTAL,N/A,MASCULINO,1900-01-01T02:26:16Z,HERIDOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,123.0,ILESO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,0,HERIDO,SI,NEGATIVA,Sin Informacion,Sin Informacion
A001165901,2020-10-18T05:00:00Z,CALLE 8 28 34,0,0,Sin Informacion,OCCIDENTAL,N/A,MASCULINO,1899-12-31T15:00:00Z,SOLO DAÑOS,CHOQUE,ÁRBOL,AUTOMÓVIL,PARTICULAR,308.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,Sin Informacion,Sin Informacion
A001165902,2020-10-23T05:00:00Z,TRANSV 12 CON AV PANAMERICA,"4.330337, -74.378998","4°19'49.2""N 74°22'44.4""W",SECTOR EL INDIO,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T21:30:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIÓN,PUBLICO,121.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165903,2020-10-23T05:00:00Z,VIA FGG - ARBELAEZ KM1+220 MTS SECTOR RIO CUJA,"4.320313, -74.388609","4°19'13.1""N 74°23'19.0""W",SECTOR RIO CUJA,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T14:15:00Z,HERIDOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,,HERIDO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,139.0,ILESO,SI,NEGATIVA,MOTOCICLETA,Sin Informacion
A001165904,2020-10-24T05:00:00Z,CRA 3 18D 65,"4.331083, -74.363319","4°19'51.9""N 74°21'48.0""W",FUSACATAN,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T11:30:00Z,HERIDOS,ATROPELLO,VEHÍCULO,MOTOCICLETA,PARTICULAR,157.0,ILESO,SI,NEGATIVA,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,MOTOCICLETA,Sin Informacion
A001165905,2020-10-24T05:00:00Z,TRANSV 12 23 16,"4.332816, -74.371723","4°19'58.1""N 74°22'18.2""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T19:20:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,157.0,ILESO,NO,Sin Informacion,MOTOCICLETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165906,2020-10-25T05:00:00Z,CALLE 22 CRA 72,"4.326692, -74.407019","4°19'36.1""N 74°24'25.3""W",LA PAMPA,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T23:20:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,121.0,HERIDO,SI,POSITIVA,AUTOMÓVIL,PARTICULAR,0,ILESO,SI,NEGATIVA,MOTOCICLETA,Sin Informacion
A001165909,2020-10-26T05:00:00Z,TV 12 17 29,"4.336046, -74.366265","4°20'09.8""N 74°21'58.6""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T22:20:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,MICROBUS,PUBLICO,157.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165908,2020-10-27T05:00:00Z,CALLE 23 13 46 FRENTE CONJUNTO VILLA BEATRIZ,"4.333402, -74.372632","4°20'00.3""N 74°22'21.5""W",VILLA BEATRIZ,SUR OCCIDENTAL,N/A,FEMENINO,1899-12-31T17:45:00Z,HERIDOS,ATROPELLO,VEHÍCULO,CAMPERO,PARTICULAR,145.0,ILESO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,0,HERIDO,SI,NEGATIVA,Sin Informacion,Sin Informacion
A001165910,2020-10-27T05:00:00Z,AV LAS PALMAS CRAS 9,"4.341900, -74.363932","4°20'30.8""N 74°21'50.2""W",CENTRO,CENTRO,N/A,MASCULINO,1900-01-01T02:36:16Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,142.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001165910,2020-10-29T05:00:00Z,CALLE25 37 87,0,0,Sin Informacion,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T23:57:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,,ILESO,NO,Sin Informacion,AUTOMÓVIL,PUBLICO,121.0,ILESO,NO,Sin Informacion,Sin Informacion,Sin Informacion
A001269486,2021-01-02T05:00:00Z,VIA PANAMERICANA KM 67+500,"4.326653, -74.403187","4°19'36.0""N 74°24'11.5""W",LA PAMPA,Sin Informacion,SUR OCCIDENTAL,MASCULINO,1900-01-01T02:56:16Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,0.0,ILESO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,110.0,ILESO,SI,NEGATIVA,MOTOCICLETA,enero
A001269487,2021-01-02T05:00:00Z,AV. MANUEL HUMBERTO No.16-45,"4.337080, -74.365302","4°20'13.5""N 74°21'55.1""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1900-01-01T04:31:16Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,0.0,ILESO,NO,Sin Informacion,MICROBUS,PUBLICO,0.0,ILESO,SI,POSITIVA,Sin Informacion,enero
A001269488,2021-01-04T05:00:00Z,KM 68 + 600,"4.326683, -74.403881","4°19'36.1""N 74°24'14.0""W",LA PAMPA,Sin Informacion,SUR OCCIDENTAL,MASCULINO,1899-12-31T22:00:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,121.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PUBLICO,0.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001269489,2021-01-05T05:00:00Z,KM 6VI AGUADITA - FGGA,"4.355427, -74.353840","4°21'19.5""N 74°21'13.8""W",LA AGUADITA,Sin Informacion,NORTE,MASCULINO,1900-01-01T01:56:16Z,SOLO DAÑOS,CHOQUE,OBJETO,CAMIONETA,PARTICULAR,157.0,ILESO,SI,NEGATIVA,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,Sin Informacion,enero
